,20180101,20180102,20180103,20180104,20180105,20180106,20180107,20180108,20180109,20180110,20180111,20180112,20180113,20180114,20180115,20180116,20180117,20180118,20180119,20180120,20180121,20180122,20180123,20180124,20180125,20180126,20180127,20180128,20180129,20180130,20180131,20180201,20180202,20180203,20180204,20180205,20180206,20180207,20180208,20180209,20180210,20180211,20180212,20180213,20180214,20180215,20180216,20180217,20180218,20180219,20180220,20180221,20180222,20180223,20180224,20180225,20180226,20180227,20180228,20180301,20180302,20180303,20180304,20180305,20180306,20180307,20180308,20180309,20180310,20180311,20180312,20180313,20180314,20180315,20180316,20180317,20180318,20180319,20180320,20180321,20180322,20180323,20180324,20180325,20180326,20180327,20180328,20180329,20180330,20180331
B0001,7959.84,5191.32,4899.88,4882.34,5147.17,8364.54,8344.73,4916.6,4700.1,4688.3,5143.55,5463.47,8695.89,9553.2,5616.73,5556.17,5686.71,5625.03,5734.5,8886.4,8609.93,5176.05,5222.93,5222.63,5235.16,5205.31,7710.53,7632.98,4709.35,4751.98,4426.3,3682.08,3961.14,6556.77,6478.82,3691.85,3705.59,3652.65,5878.65,5079.79,7418.68,7193.39,6034.51,6188.29,7553.55,3536.191316,4839.425571,5771.447207,6665.617475,4670.985027,5056.172301,4112.11,5550.72,5780.83,7104.34,6558.23,5418.38,5410.07,5656.48,3295.25,6216.24,8430.21,7471.43,4948.24,4106.88,5660.37,5631.49,3826.05,6876.75,6926.34,3244.1,3282.19,3546.61,3675.05,4197.9,6852.84,7118.35,3476.51,3597.36,3718.91,3847.88,4278.9,7263.33,7310.41,3886.06,4033.99,4873.14,3474.86,4362.18,6433.39
B0002,8349.62,6372.6,6085.38,6163.55,6719.36,9047.83,9028.02,6469.19,5946.61,5934.63,6355.98,6983.43,8726.31,9257.82,6378.56,6400.05,6534.82,6536.53,6896.79,9159.66,8995.26,6070.17,6807.15,6400.41,6531.16,6672.13,8626.1,8683.81,6532.04,6482.17,6746.79,5317.75,5758.29,7848.44,7772.59,5129.09,5142.82,5126.52,9184.16,8825.35,9956.43,9449.67,9144.91,9302.75,10837.35,4625.982538,6452.00898,7396.687391,7742.358234,5885.100294,7499.039658,5058.28,5415.67,6194.57,8291.16,7815.22,5561.8,5553.5,5551,4859.69,7742.53,9215.26,8604.92,6378.71,6235.15,6755.96,7098.51,5577.47,8182.02,8238.6,4717.61,4762.69,5047.66,5307.21,6024.83,8124.72,8461.94,5025.05,5025.05,5121.77,5357.31,5936.93,8511.55,8574.69,5343.4,5410.15,5522.97,5953.83,6493.24,8873.39
B0003,91669.38,76093.38,74971.39,75511.91,87570.06,113455.46,113776.69,75269.78,74664.01,76409.27,76444.02,89553.89,117996.5,121539.61,80389.93,79997.14,81564.05,80091.9,103629.05,120981.72,120942.81,80748.08,80982.09,81406.79,80368.62,102090.52,116484.67,116966.33,80317.59,80694.77,80777.24,77100.41,100020.43,110938.14,110889.28,75223.3,75183.55,75361.8,90132.65,105602.23,114238.52,115806.23,92098.72,93608.2,100499.95,70833.31145,86131.86778,80075.8796,81932.69211,92596.28522,107379.9347,75393.23,70029.66,84277.2,114404.85,113699.29,64939.36,64930.73,65500.42,63781.19,89766.05,115095.29,114648.72,76636.07,72273.31,81518.69,81996.57,77499.44,110148.08,113490.73,62893.91,62954.93,64085.35,64774.6,79176.41,116271.03,116603.08,63995.02,63977.86,64553.74,65027.87,79335.27,117279.86,117491.13,64006.92,65248.18,66451.6,68285.74,81786.13,118184.5
B0004,59844.44,39144.75,38549.85,38422.59,43539.12,62465.54,62553.24,39760.5,39166.5,39312.28,39889.09,45474.85,68550.53,70094.97,41676.59,41703.83,42331.95,41588.92,46762.18,69587.33,69255.38,40885.86,42192.07,41471.54,41205.04,43236.79,56935.82,57600.65,40830,40941.7,41279.7,37942.06,40173.86,51910.71,51888.76,35641.13,35596.73,35623.04,72632.88,63727.58,66409.43,67741.45,74567.05,75146.48,68884.14,41099.69085,52467.87074,55345.09658,58453.91362,56862.93512,65514.11243,45815.8,34116.19,38759.14,51721.2,51100.98,33734.79,33974.82,34361.78,32902.73,53534.65,58190.88,57203.27,47980.59,44925.41,49517.25,49057.25,37616.54,54540.08,56377.73,33126,33206.03,33712.5,34273.77,39422.2,56505.25,56797.2,33670.6,33697.49,33960.56,34351.45,39238.01,57822.77,58774.48,33938.33,33943.96,34950.5,35669.65,41551.43,60748.87
B0005,182015.7,160851.69,162229.42,162606.7,188409.95,215641.97,215397.22,161885.61,161019.14,163422.17,163318.5,189509.38,215856.02,218147.53,162810.73,156994.27,160845.89,156811.38,187069,216290.31,216519.31,155193.5,157277.58,153680.77,153317.64,181765.97,209382.66,210980.8,151815.88,156001.91,154414.47,149658.05,181378.94,210661.16,208200.11,148468.2,146381.38,150915.88,157151.81,187508.69,215730.11,212916.33,160098.11,159077.61,190521.98,120339.9721,167373.3516,200515.024,203907.0037,168326.5388,202247.6202,137902.05,148559.44,176553.2,215625.91,213226.17,144803.19,149211.17,148181.17,147346.08,188171.77,217354.45,216420.03,170467.3,168813.84,172548.5,172073.91,174457.88,213311.27,214810.7,143888.7,144162.44,149175.78,151184.77,176127.41,206197.02,213865.58,145654.78,147761.33,153302.52,152965.58,180408.92,221246.77,220784.42,149593.22,154815.34,152476.94,155069.31,182756.95,220010.02
B0006,112951.07,102892.5,102996.42,103435.95,115328.34,125022.38,124834.16,103192.95,103488.81,102295.51,103880.1,116239.67,129497.61,130716.23,104787.94,105367.3,105498.59,106011.73,117620.65,135366.17,134403.48,104758.66,106366.16,106862.17,106432.45,119207.84,135611.25,135170.27,113321.91,112830.49,118509.85,113356.74,140187.91,157859.13,158672.19,107321.95,108387.71,106354.63,122896.64,142648.31,157864.44,157223.17,126027.28,126097.94,132406.59,90766.17836,136388.3841,135535.4224,138417.9286,124351.4392,148663.1965,102291.05,104714.17,132822.36,147220.28,147658.16,106397.88,106822.98,107886.93,105589.22,137159.59,150036.67,150027.5,113087.6,111413.49,114435.84,115513,132822.45,149878.98,150850.8,106019.77,105995.23,106441.59,106490.97,133400.34,147913.25,150004.91,107689.9,107509.84,107230.7,106214.82,132890.02,150774.64,151716.31,111631.92,114623.08,113988.63,114058.99,138746.44,155887.5
B0007,93508.32,71067.55,70022.05,68702.94,84201.68,118497.97,119233.91,71827.19,69439.27,71741.69,70183.5,85845.95,121330.72,125490.95,74736.15,74656.02,76571.9,74377.74,99302.27,124369.43,124815.99,72621.23,74825.63,73462.2,71205.03,95549.21,120385.52,122227.15,72507.86,72682.49,74206.68,68145.11,94029.45,117221.05,116767.81,68150.36,68157.23,69335.09,92930.03,111746.16,128638.21,128431.38,97058.1,98152.67,106425.37,63035.19122,83269.23555,85983.81365,88709.83881,90441.52107,103412.7239,73311.49,63962.95,81439.55,114984.09,114674.2,63347.21,63338.91,65282.25,64799.36,94095.5,122328.91,121733.8,79790.76,75926.44,84415.98,83434.74,81381.98,118062.36,120160.11,64784.77,64755.39,65935.22,65682.86,81972.87,117885.23,119263.04,65140.66,65140.66,66332.66,65132.39,81556.02,119367.69,120086.46,64950.33,65562.92,68571.82,67614.96,83435.93,119741.2
B0008,59392.76,51858.09,51940.07,51754.55,57276.5,70374.6,70468.2,53136.97,51679.9,52869.96,52239.82,58992.79,72882.96,74187.8,53756.7,53685.27,54301.57,53816.46,60313.75,74172.61,74370.3,52713.98,54137.31,53561.98,53386.6,57138.16,68580.43,69088.36,55595.64,55529.02,56364.48,51459.59,55346.87,66268.69,66344.17,49492.18,49574.2,49805.23,73690.22,71594.3,75078.32,74335.3,74331.04,74652.16,70672.14,45171.70895,62051.15105,71814.61463,73135.47478,62101.25862,73016.33611,50644.75,49934.1,55711.14,65834.45,65192.3,49731.13,49978.62,51740.58,49069.08,57197,68041.79,68217.27,52912.79,52353.68,53550.69,53552.22,53311.73,66034.73,67002.03,48211.04,48405.11,49395.65,49647.45,54821.76,66378.15,67709.99,49235.41,49235.41,49558.09,49882.26,55235.42,68635.03,68933.66,50117.59,50723.89,52716.19,53497.46,59214.16,70959.53
B0009,111819.51,96101.76,96840.59,98520.27,112657.46,134344.89,134406.05,97183.51,95410.79,97467.98,99133.38,113662.71,135801.2,137449.91,99319.74,99577.63,102175.35,103185.53,117150.36,137698.38,137357.36,99263.56,101576.02,101694.88,102921.91,116187.75,135884.97,136038.33,99743.79,99895.38,101505.45,98015.34,113530.96,133207.3,132581.03,92651.59,92988.02,94272.12,120262.97,125552.85,143900.14,140865.52,120266.86,122118.05,128440.84,85586.6679,95133.854,80471.46786,81921.35037,114656.279,130641.2315,93715.27,92443.02,109070.8,132169.52,132479.08,89966.18,90085.95,92476.32,93471.86,115709.2,135474.59,135464.34,99958.72,98298.35,105649.02,107574.07,109345.62,134629.64,134993.53,90185.69,90307.25,93004.43,94774.95,110971.92,133814.33,136017.78,91394.77,91516.46,93425.94,95201.6,111253.74,137184.98,136875.28,93092.2,95850.51,96439.77,98206.12,113422.22,137962.34
